단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
194480,KR7194480000,데브시스터즈,ST,2.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,37650,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,71332,500,20141006,12203,6101575000,12,,0,,N,N,1811,195,205,205,25,20250630.0,4594,,N,N,N
194700,KR7194700001,노바렉스,ST,2.0,1009,1019,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,16860,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,79832,500,20181114,18754,9377424000,12,,0,,N,N,1898,194,175,151,13,20250630.0,3162,,N,N,Y
195500,KR7195500004,마니커에프앤지,ST,3.0,1009,1019,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2570,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,20130,500,20190820,15978,7989000000,12,,0,,N,N,1077,38,36,30,4,20241231.0,410,,N,N,N
195940,KR7195940002,HK이노엔,ST,1.0,1009,1024,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,52000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,656527,500,20210809,28329,14452249500,12,,0,,N,Y,8971,882,717,616,5,20241231.0,14731,,N,N,Y
195990,KR7195990007,에이비프로바이오,ST,3.0,1009,1027,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,315,1,1,N,N,N,1,Y,N,N,0,0,0,100,N,90,27740374,500,20150413,284689,142344860500,12,,0,,N,N,180,-58,-476,-476,-112,20250630.0,896,,N,N,N
196170,KR7196170005,알테오젠,ST,1.0,1006,0,0,N,N,Y,,Y,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,Y,547000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,763513,500,20141212,53505,26752894000,12,,0,,N,Y,1023,606,631,487,32,20250630.0,292676,,N,N,Y
196300,KR7196300008,HLB펩,ST,3.0,1009,1024,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6490,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,29033,500,20161207,9293,4646699000,12,,0,,N,N,62,-54,-68,-68,-85,20241231.0,603,,N,N,N
196450,KR7196450001,코아시아씨엠,ST,3.0,1009,1029,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,813,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,85494,1000,20140602,45319,45319582000,12,,0,,N,N,1485,28,23,19,8,20250630.0,368,,N,N,N
196490,KR7196490007,디에이테크놀로지,ST,3.0,1009,1027,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,203,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,20141119,178549,89274680000,12,,0,,N,N,49,-6,-36,-36,-36100000,20250630.0,362,,N,N,N
196700,KR7196700009,웹스,ST,3.0,1009,1023,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1304,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,40524,500,20150824,14364,7182072000,12,,0,,N,N,202,21,14,14,8,20250630.0,187,,N,N,N
197140,KR7197140007,디지캡,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,1867,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,14413,500,20180907,13013,6506577000,12,,0,,N,N,320,-16,3,12,2,20241231.0,242,,N,N,N
198080,KR7198080004,캐프,ST,3.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2300,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,426591,500,20200316,21535,10767592500,12,,0,,N,N,1473,116,99,87,15,20250630.0,495,,N,N,N
198440,KR7198440000,강동씨앤엘,ST,3.0,1009,1025,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1035,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,67898,100,20140813,60931,6093189600,12,,0,,N,N,474,56,-90,-77,-7,20241231.0,630,,N,N,N
198940,KR7198940009,한주라이트메탈,ST,3.0,1009,1026,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,697,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,37036,500,20230119,38922,19461489000,12,,0,,N,N,1353,44,-4,-1,0,20250630.0,271,,N,N,N
199430,KR7199430000,케이엔알시스템,ST,3.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,33350,1,1,N,N,N,1,N,N,N,0,0,0,100,N,90,681159,100,20240307,10897,1089721300,12,,0,,N,N,41,-43,-44,-44,-34,20250630.0,3634,,N,N,N
199480,KR7199480005,뱅크웨어글로벌,ST,3.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6100,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,81305,500,20240812,10101,5050819000,12,,0,,N,N,291,-26,-31,-29,-33,20250630.0,616,,N,N,N
199550,KR7199550005,레이저옵텍,ST,3.0,1009,1029,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6140,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,37897,500,20240201,12265,6132895500,12,,0,,N,N,92,-46,-56,-56,-38,20250630.0,753,,N,N,N
199730,KR7199730003,바이오인프라,ST,3.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,4680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,15670,500,20230302,4864,2432183500,12,,0,,N,N,238,-51,-59,-40,-13,20241231.0,227,,N,N,N
199800,KR7199800004,툴젠,ST,2.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,76200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,470676,500,20211210,8835,4417878000,12,,0,,N,N,3,-109,-88,-88,-31,20250630.0,6732,,N,N,N
